bID,bRad,LamSites,Class,DomainID,Chr,StartLoc,EndLoc,TAD_length,Genomic length of genes,Radius(nm),EpiClass,WT_Probability_NE0.2,Mutant_Probability_NE0.2,Sum_of_Contacts_with_Active_TADs,Radii,Surface_area,Reads_Rep1_WT,Reads_Rep2_WT,Reads_Rep1_Mut,Reads_Rep2_Mut,WT_RPKMT,Mut_RPKMT,WT_RPKMTL,Mut_RPKMTL,Bin_ALL_TADs,Bin_LTADs,Bin_NonLTADs
59,0.06,0,NonL-TADs,60,2L,5516150,5543049,26900,33799,48.06,Active,0.135359,0.0557284,2829.4,0.06,0.015084,24635,20992,24977,37344,43.77550687,57.61107961,55.00254114,72.38650111,2,,3
60,0.13,0,NonL-TADs,61,2L,5543050,5800249,257200,164798,102.01,Null,0.0877152,0.0512862,13086.6,0.13,0.070811,3442,2923,3377,3225,1.252447676,1.251696491,0.8024917265,0.8020104135,2,,2
61,0.1,1,L-TADs,62,2L,5800250,5906949,106700,62673,76.08,Null,0.120326,0.0522528,4544.25,0.1,0.0419,1607,972,1736,1712,1.334393686,1.718945965,0.7837905855,1.009667296,2,1,
62,0.07,0,NonL-TADs,63,2L,5906950,5944649,37700,34432,53.79,PcG,0.0840181,0.0562746,2969.62,0.07,0.020531,1798,1594,1891,1875,3.194528109,3.417381921,2.917612516,3.12114839,1,,2
63,0.07,0,NonL-TADs,64,2L,5944650,5981749,37100,22611,53.5,Active,0.0608831,0.0603706,3625.58,0.07,0.020531,26318,23699,25072,25895,71.73167783,70.42790223,43.71765411,42.92305384,1,,1
64,0.08,0,NonL-TADs,65,2L,5981750,6047349,65600,59045,64.69,Active,0.0457803,0.0624779,6780.04,0.08,0.026816,57635,47215,41674,42860,57.58354898,44.73255908,51.82958308,40.26271266,1,,1
65,0.06,0,NonL-TADs,66,2L,6047350,6071049,23700,23140,46.08,Active,0.0365461,0.0586303,2547.6,0.06,0.015084,12350,11419,11787,12018,33.30892955,32.14254664,32.52188311,31.38306031,1,,1
66,0.06,0,NonL-TADs,67,2L,6071050,6099149,28100,18246,48.77,Active,0.0320336,0.0560076,2102.42,0.06,0.015084,3176,2543,3357,3249,10.16402082,11.31218113,6.599741062,7.345268929,1,,1
67,0.12,0,NonL-TADs,68,2L,6099150,6323049,223900,113764,97.4,Null,0.026142,0.051767,13347.8,0.12,0.060336,6644,5623,7190,6874,3.496605461,3.862597505,1.776631638,1.962592865,1,,1
68,0.07,0,NonL-TADs,69,2L,6323050,6357749,34700,28697,52.32,Active,0.0254011,0.0546261,1632.33,0.07,0.020531,10080,7858,9949,10304,20.26985499,22.05100139,16.76322849,18.23624169,1,,1
69,0.08,0,NonL-TADs,70,2L,6357750,6425249,67500,59365,65.31,Null,0.0262691,0.0573516,6706.34,0.08,0.026816,1567,1291,1668,1742,1.561150859,1.794730976,1.37300327,1.578432657,1,,1
70,0.08,0,NonL-TADs,71,2L,6425250,6480449,55200,30466,61.08,Active,0.0259974,0.0561602,6017.01,0.08,0.026816,21048,18261,20784,20844,41.83980752,42.69190749,23.09223869,23.56252996,1,,1
71,0.05,0,NonL-TADs,72,2L,6480450,6497649,17200,18290,41.41,Active,0.0255174,0.0519377,0,0.05,0.010475,6868,5988,6869,6937,22.79319879,23.58465975,24.2376515,25.079269,1,,1
72,0.06,0,NonL-TADs,73,2L,6497650,6526649,29000,28355,49.28,Null,0.026422,0.0502898,3776.85,0.06,0.015084,1351,973,1395,1587,2.657783445,3.285893165,2.598670676,3.212810369,1,,1
73,0.06,0,NonL-TADs,74,2L,6526650,6557449,30800,21073,50.28,PcG,0.0293612,0.0515984,1692.72,0.06,0.015084,166,171,147,144,0.518581063,0.4314615243,0.354807102,0.2952009318,1,,1
74,0.08,0,NonL-TADs,75,2L,6557450,6612149,54700,46765,60.89,Null,0.0327112,0.0510172,4826.64,0.08,0.026816,9402,8844,9076,9159,12.65201948,12.18316933,10.81666711,10.41583024,1,,1
75,0.08,0,NonL-TADs,76,2L,6612150,6683049,70900,65568,66.39,Active,0.0435566,0.0559689,7315.45,0.08,0.026816,16206,12680,16115,16634,14.28593238,15.60563906,13.21156579,14.43202457,1,,1
76,0.07,0,NonL-TADs,77,2L,6683050,6718349,35300,31116,52.62,PcG,0.0605394,0.0536473,2108.21,0.07,0.020531,1885,1811,1982,2305,3.851778633,4.304722619,3.395239205,3.794497139,1,,1
77,0.09,1,L-TADs,78,2L,6718350,6796849,78500,65233,68.68,Null,0.0775265,0.0532556,7238.85,0.09,0.033939,7877,7325,8310,8479,7.556949088,8.041423392,6.279776559,6.68237162,1,1,
78,0.08,0,NonL-TADs,79,2L,6796850,6852049,55200,21640,61.08,PcG,0.0638748,0.0539332,6264.2,0.08,0.026816,0,0,0,0,0,0,0,0,1,,1
79,0.08,0,NonL-TADs,80,2L,6852050,6919849,67800,43284,65.41,Active,0.0543461,0.0559266,5900.12,0.08,0.026816,15919,14552,14970,14714,22.82824047,21.42744979,14.57371033,13.67943565,1,,1
80,0.06,0,NonL-TADs,81,2L,6919850,6948649,28800,19851,49.17,Active,0.0523524,0.0514367,4421.99,0.06,0.015084,19997,18578,22158,22828,63.01394438,70.80606202,43.43367395,48.80455337,1,,1
81,0.06,0,NonL-TADs,82,2L,6948650,6971349,22700,18514,45.42,Active,0.0558903,0.0489131,2260.07,0.06,0.015084,27727,21346,24211,22293,85.95189759,78.48117601,70.10191331,64.00883227,1,,1
82,0.08,0,NonL-TADs,83,2L,6971350,7026949,55600,51817,61.22,Null,0.0667169,0.044382,6317.09,0.08,0.026816,4249,3050,3979,4140,4.567769898,4.895597762,4.256980806,4.562503403,1,,2
83,0.05,0,NonL-TADs,84,2L,7026950,7042349,15400,26412,39.91,Active,0.0894719,0.0449593,2181.44,0.05,0.010475,7044,6006,7229,7482,16.02220717,17.40268898,27.4791257,29.84674164,2,,2
84,0.06,0,NonL-TADs,85,2L,7042350,7065849,23500,15322,45.95,Active,0.112413,0.0447112,1699.42,0.06,0.015084,2588,2135,2405,2254,9.995755107,9.500636543,6.517232329,6.194415026,2,,2
85,0.1,1,L-TADs,86,2L,7065850,7180149,114300,73632,77.85,Null,0.150505,0.0375376,7987.42,0.1,0.0419,917,1290,929,1370,0.9719610378,0.9755461647,0.6261367904,0.6284463272,2,1,
86,0.06,0,NonL-TADs,87,2L,7180150,7202649,22500,18266,45.28,Null,0.14493,0.0355985,1722.08,0.06,0.015084,2749,2560,2868,2775,9.425022419,9.652549747,7.651442645,7.836154385,2,,3
87,0.05,0,NonL-TADs,88,2L,7202650,7222349,19700,17588,43.32,Active,0.150034,0.0379942,1332.11,0.05,0.010475,1352,1200,1292,1424,4.705191817,4.824904928,4.200757039,4.307635933,2,,3
88,0.07,0,NonL-TADs,89,2L,7222350,7258449,36100,40107,53.01,Null,0.169106,0.035604,1058.28,0.07,0.020531,156,197,193,190,0.2854089891,0.2983692396,0.3170885963,0.3314873987,3,,3
89,0.11,1,L-TADs,90,2L,7258450,7435549,177100,79787,90.08,PcG,0.277291,0.045765,8425.19,0.11,0.050699,9111,7574,8474,8726,6.78121002,6.735529811,3.055067215,3.034487391,4,2,
90,0.08,1,L-TADs,91,2L,7435550,7494949,59400,51994,62.59,Null,0.233309,0.0304095,3524.91,0.08,0.026816,4572,3905,4980,4914,5.286911897,5.94557864,4.62773901,5.204283095,3,1,
91,0.07,0,NonL-TADs,92,2L,7494950,7534949,40000,79376,54.86,Null,0.198954,0.0285432,1910.42,0.07,0.020531,29,38,50,41,0.02737150724,0.0358201693,0.05431601896,0.07108154397,3,,4
92,0.09,0,NonL-TADs,93,2L,7534950,7640049,105100,11973,75.7,Null,0.146223,0.0288605,3520.68,0.09,0.033939,0,2,0,2,0.005416766727,0.005219182279,0.0006170784778,0.0005945696424,2,,3
93,0.11,1,L-TADs,94,2L,7640050,7782249,142200,123929,83.73,Null,0.178287,0.031331,5302.53,0.11,0.050699,4236,4532,5298,5631,2.29424987,2.755389076,1.999466189,2.40135452,3,1,
94,0.06,0,NonL-TADs,95,2L,7782250,7808149,25900,25731,47.46,Active,0.121017,0.0380469,1217.3,0.06,0.015084,7149,6719,7115,7888,17.4771369,18.21784053,17.36309689,18.09896736,2,,2
95,0.06,0,NonL-TADs,96,2L,7808150,7828749,20600,19808,43.97,Active,0.0929065,0.037875,1262.42,0.06,0.015084,41920,38722,40977,41173,132.0181926,129.5813177,126.9425417,124.5993564,2,,2
96,0.11,0,NonL-TADs,97,2L,7828750,8009349,180600,145980,90.67,Null,0.0525828,0.0318867,10426.9,0.11,0.050699,10871,10232,10833,10506,4.687744787,4.56726442,3.789130587,3.691745626,1,,1
97,0.06,0,NonL-TADs,98,2L,8009350,8030249,20900,18600,44.18,Null,0.0430882,0.0315717,1718.16,0.06,0.015084,4450,3443,3863,3666,13.7607555,12.64735778,12.24641399,11.25554329,1,,1
98,0.05,0,NonL-TADs,99,2L,8030250,8042449,12200,9713,36.93,Active,0.0421745,0.035498,2181.3,0.05,0.010475,29980,23720,25870,24336,179.2808972,161.5019181,142.7340454,128.5793549,1,,1
99,0.07,0,NonL-TADs,100,2L,8042450,8083349,40900,38834,55.27,Active,0.0402978,0.0381068,4108.45,0.07,0.020531,18100,15230,20077,20756,27.83148037,32.85296825,26.42561635,31.19345157,1,,1
100,0.08,0,NonL-TADs,101,2L,8083350,8158649,75300,78190,67.74,Null,0.0394557,0.0388153,6435.61,0.08,0.026816,27804,25463,30067,31646,22.09124259,24.66044433,22.93910037,25.60690759,1,,1
101,0.07,0,NonL-TADs,102,2L,8158650,8197849,39200,38033,54.49,Active,0.0354653,0.0380764,3644.25,0.07,0.020531,10135,9510,10191,10726,16.749605,17.18360435,16.25096242,16.67204143,1,,1
102,0.09,0,NonL-TADs,103,2L,8197850,8301949,104100,97303,75.46,Null,0.0328278,0.0363447,10372,0.09,0.033939,80317,70355,77443,78321,50.21337846,50.01684718,46.93479696,46.7510978,1,,1
103,0.06,0,NonL-TADs,104,2L,8301950,8325049,23100,21202,45.68,Active,0.036007,0.0406626,1891.31,0.06,0.015084,8630,8563,9131,9716,26.29589476,27.77415481,24.13530566,25.49210521,1,,1
104,0.07,0,NonL-TADs,105,2L,8325050,8363549,38500,22822,54.16,Null,0.0349678,0.0392472,3962.48,0.07,0.020531,2378,2543,2626,2946,6.992182964,7.628389475,4.144820769,4.521950769,1,,1
105,0.05,0,NonL-TADs,106,2L,8363550,8383949,20400,18644,43.83,Active,0.0377536,0.0422009,2620.69,0.05,0.010475,60116,58214,58109,59884,205.8111456,197.7391216,188.0952451,180.7180482,1,,1
106,0.11,0,NonL-TADs,107,2L,8383950,8534649,150700,139696,85.36,Active,0.0471853,0.0500985,16616.2,0.11,0.050699,48108,41018,45100,48230,20.68871728,20.87433969,19.17804279,19.3501112,1,,1
107,0.11,0,NonL-TADs,108,2L,8534650,8685849,151200,136393,85.46,Null,0.050002,0.0367456,9260.35,0.11,0.050699,11379,5487,9233,8455,4.009896231,4.051931542,3.617207517,3.655126315,1,,1
108,0.08,0,NonL-TADs,109,2L,8685850,8741549,55700,55215,61.26,Null,0.084351,0.0366361,3635.38,0.08,0.026816,6609,5618,6716,7290,7.180851665,7.925606334,7.118325399,7.85659522,1,,2
109,0.15,1,L-TADs,110,2L,8741550,9122049,380500,143710,116.24,PcG,0.294269,0.0563417,12948.4,0.15,0.094275,6958,6771,7323,7941,3.097883172,3.3186146,1.170030987,1.253398434,4,2,
110,0.07,0,NonL-TADs,111,2L,9122050,9167249,45200,119779,57.14,Null,0.133493,0.0443852,1342.41,0.07,0.020531,5813,4169,5649,5525,2.702402304,2.91476426,7.161306318,7.724060802,2,,3
111,0.09,0,NonL-TADs,112,2L,9167250,9253349,86100,2453,70.83,Null,0.136183,0.0460542,3275.78,0.09,0.033939,2871,2281,2308,2147,68.10694908,56.74474017,1.940375681,1.616664897,2,,3
112,0.13,1,L-TADs,113,2L,9253350,9493649,240300,115133,99.73,Null,0.306842,0.0537577,7188.13,0.13,0.070811,17285,17829,17677,19316,9.889938787,10.03910931,4.738486568,4.809957436,4,2,
113,0.06,0,NonL-TADs,114,2L,9493650,9521349,27700,35758,48.53,Null,0.198934,0.0387749,1786.34,0.06,0.015084,1512,1299,1292,1356,2.549181426,2.313770141,3.290744745,2.986851722,3,,4
114,0.07,1,L-TADs,115,2L,9521350,9567649,46300,23695,57.6,Null,0.181947,0.0396226,1637.07,0.07,0.020531,12,4,20,28,0.02189658511,0.06329362592,0.01120603853,0.03239184592,3,1,
115,0.07,0,NonL-TADs,116,2L,9567650,9614649,47000,22215,57.89,PcG,0.16594,0.0451703,1844.34,0.07,0.020531,18110,16827,18994,19951,50.997914,54.77480526,24.10465233,25.88983614,3,,3
116,0.09,0,NonL-TADs,117,2L,9614650,9700049,85400,37882,70.64,Null,0.11174,0.0394842,5803.06,0.09,0.033939,11721,9850,13381,13250,18.46505047,21.96494026,8.190785033,9.743277131,2,,2
117,0.08,0,NonL-TADs,118,2L,9700050,9758549,58500,49988,62.27,Null,0.105217,0.040522,3275.56,0.08,0.026816,9614,8623,8629,9602,11.83043617,11.39515354,10.10905715,9.737110007,2,,2
118,0.07,0,NonL-TADs,119,2L,9758550,9792549,34000,23606,51.97,Active,0.132825,0.0488366,2491.35,0.07,0.020531,10850,9591,10110,10554,28.07972533,27.35063677,19.49558812,18.98938623,2,,3
119,0.09,1,L-TADs,120,2L,9792550,9886349,93800,89267,72.88,Null,0.152519,0.047144,6540.46,0.09,0.033939,0,0,0,0,0,0,0,0,2,1,
120,0.05,0,NonL-TADs,121,2L,9886350,9906249,19900,19403,43.47,Active,0.14133,0.0526232,1625.22,0.05,0.010475,43465,43779,40086,39657,145.8074804,128.4100864,142.1659569,125.2030606,2,,3
121,0.05,0,NonL-TADs,122,2L,9906250,9919049,12800,10139,37.52,Active,0.125228,0.0557684,0,0.05,0.010475,11157,9875,10843,11061,67.26645955,67.4999979,53.28239323,53.46738115,2,,2
122,0.07,0,NonL-TADs,123,2L,9919050,9968449,49400,37719,58.86,Active,0.112755,0.0588194,7056.47,0.07,0.020531,34971,33751,34190,33636,59.08112275,56.18384883,45.11094876,42.89875696,2,,2
123,0.07,0,NonL-TADs,124,2L,9968450,10010049,41600,26115,55.58,Active,0.112291,0.0564187,4427.17,0.07,0.020531,8277,7897,8009,8164,20.08355216,19.34977895,12.60773953,12.14710282,2,,2
124,0.07,0,NonL-TADs,125,2L,10010050,10055349,45300,16152,57.18,Null,0.130114,0.0492955,3914.19,0.07,0.020531,0,0,0,0,0,0,0,0,2,,3
125,0.11,1,L-TADs,126,2L,10055350,10200649,145300,99037,84.33,Null,0.185258,0.0506878,9953.67,0.11,0.050699,8299,6984,7076,7272,5.004080145,4.526571068,3.410798935,3.085327039,3,1,
126,0.1,0,NonL-TADs,127,2L,10200650,10334649,134000,119844,82.08,Active,0.117193,0.0614567,15665.4,0.1,0.0419,79394,71534,74349,75554,40.83820464,39.08134305,36.52398356,34.95271998,2,,2
127,0.08,0,NonL-TADs,128,2L,10334650,10386949,52300,42426,59.99,Active,0.101752,0.0632351,8141.74,0.08,0.026816,14802,13609,15149,15332,21.71538594,22.44773749,17.61562073,18.20970766,2,,2
128,0.07,0,NonL-TADs,129,2L,10386950,10438349,51400,48660,59.64,Active,0.108671,0.0607343,5274.16,0.07,0.020531,58227,52720,57371,57549,73.93610684,73.79024704,69.99476574,69.85668134,2,,2
129,0.07,0,NonL-TADs,130,2L,10438350,10479249,40900,35672,55.27,Null,0.133772,0.0571136,5036.98,0.07,0.020531,613,628,694,636,1.128125568,1.164929473,0.9839240891,1.016023574,2,,3
130,0.07,0,NonL-TADs,131,2L,10479250,10518549,39300,34375,54.54,Active,0.180925,0.0615508,4302.9,0.07,0.020531,7527,7312,7499,8001,13.99829198,14.08848983,12.2440531,12.32294753,3,,4
131,0.12,1,L-TADs,132,2L,10518550,10725649,207100,133202,94.9,Null,0.331985,0.0602799,12047.5,0.12,0.060336,69,73,72,93,0.03456931059,0.03870335826,0.02223419271,0.02489311795,4,2,
132,0.07,0,NonL-TADs,133,2L,10725650,10770449,44800,34106,56.97,Active,0.289801,0.0653597,2766.86,0.07,0.020531,11420,9348,10957,11440,19.74590337,20.51797583,15.03245045,15.62022508,4,,5
133,0.12,1,L-TADs,134,2L,10770450,10966549,196100,149296,93.19,Null,0.39994,0.0776602,13049.6,0.12,0.060336,16581,12952,16839,16282,6.414643325,6.931555743,4.883633809,5.277172597,5,3,
